subjid,sceneid,sceneorder,schema,desc,cleaned,pattern,pattern (normalised order),
3,15,15,E,small yellow box,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
3,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
3,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
3,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
3,19,19,D,top green box,top green cube,tg_loc tg_col tg_type,tg_col tg_loc tg_type,
3,20,20,E,red box,red cube,tg_col tg_type,tg_col tg_type,
4,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
4,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
4,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
4,4,4,D,small yellow box,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
4,5,5,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
4,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
4,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
4,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
4,9,9,D,small red box on the top,small red top cube,tg_tg_size tg_col tg_loc tg_type,tg_size tg_col tg_loc tg_type,
4,10,10,E,blue box,blue cube,tg_col tg_type,tg_col tg_type,
5,11,11,A,yellow ball sitting on the box on the right-hand side,yellow ball on-top-of right-hand cube,tg_col tg_type rel lm_loc lm_type,tg_col tg_type rel lm_loc lm_type,
5,12,12,B,please pick up the ball sitting in front of the large cube,ball in-front-of large cube,tg_type rel lm_size lm_type,tg_type rel lm_size lm_type,
5,13,13,C,please pick up the small ball (sitting on the cube),small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
5,14,14,D,please pick up the small green cube sitting in front of the large green cube,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
5,15,15,E,yellow cube sitting on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
5,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
5,17,17,B,ball,ball,tg_type,tg_type,
5,18,18,C,small ball in front of the cube,small ball in-front-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
5,19,19,D,small green cube sitting on the large green cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
5,20,20,E,red box,red cube,tg_col tg_type,tg_col tg_type,
6,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
6,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
6,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
6,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
6,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
6,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
6,7,7,B,yellow ball ,yellow ball ,tg_col tg_type ,tg_col tg_type,
6,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
6,9,9,D,small red box on the big red box,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
6,10,10,E,small blue cube,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
7,11,11,A,ball on top of the left-hand cube,ball on-top-of left-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
7,12,12,B,ball in front of the larger cube,ball in-front-of large cube,tg_type rel lm_size lm_type,tg_type rel lm_size lm_type,
7,13,13,C,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
7,14,14,D,green cube in front of the larger green cube,green cube in-front-of large green cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
7,15,15,E,small yellow cube on top of the red cube,small yellow cube on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
7,16,16,A,red ball in front of the right-hand cube,red ball in-front-of right-hand cube,tg_col tg_type rel lm_loc lm_type,tg_col tg_type rel lm_loc lm_type,
7,17,17,B,ball on top of the larger cube,ball on-top-of large cube,tg_type rel lm_size lm_type,tg_type rel lm_size lm_type,
7,18,18,C,small ball in front of the cube,small ball in-front-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
7,19,19,D,small green cube on top of the larger green cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
7,20,20,E,red cube in front of the yellow cube,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
8,1,1,A,ball on top of the cube on the right,ball on-top-of right-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
8,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
8,3,3,C,small ball. It is on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
8,4,4,D,smallest yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
8,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
8,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
8,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
8,8,8,C,smallest blue ball.,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
8,9,9,D,smallest red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
8,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
9,11,11,A,ball,ball,tg_type,tg_type,
9,12,12,B,ball,ball,tg_type,tg_type,
9,13,13,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
9,14,14,D,smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
9,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
9,16,16,A,ball,ball,tg_type,tg_type,
9,17,17,B,ball,ball,tg_type,tg_type,
9,18,18,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
9,19,19,D,smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
9,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
10,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
10,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
10,3,3,C,small blue ball on top of the green cube,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
10,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
10,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
10,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
10,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
10,8,8,C,small blue ball in front of the green cube,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
10,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
10,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
11,11,11,A,yellow ball on top of the left hand red cube,yellow ball on-top-of left-hand red cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
11,12,12,B,blue ball in front of the green cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
11,13,13,C,red ball on top of the yellow box,red ball on-top-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
11,14,14,D,smaller green box,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
11,15,15,E,yellow box on top of the red box,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
11,16,16,A,red ball in front of the righthand yellow box,red ball in-front-of right-hand yellow cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
11,17,17,B,blue ball on top of the green box,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
11,18,18,C,red ball in front of the yellow box,red ball in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
11,19,19,D,small green box on top of the big green box,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
11,20,20,E,red box in front of the yellow box,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
13,11,11,A,yellow ball on top of the cube,yellow ball on-top-of cube,tg_col tg_type rel lm_type,tg_col tg_type rel lm_type,
13,12,12,B,ball in front of the large cube,ball in-front-of large cube,tg_type rel lm_size lm_type,tg_type rel lm_size lm_type,
13,13,13,C,small ball on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type,
13,14,14,D,small green cube located in front of the bigger cube,small green cube in-front-of large cube,tg_size tg_col tg_type rel lm_size lm_type,tg_size tg_col tg_type rel lm_size lm_type,
13,15,15,E,yellow cube located on top of the red cube,yellow cube on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
13,16,16,A,red ball located in front of the right-hand cube,red ball in-front-of right-hand cube,tg_col tg_type rel lm_loc lm_type,tg_col tg_type rel lm_loc lm_type,
13,17,17,B,blue ball located on top of the large green cube,blue ball on-top-of large green cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
13,18,18,C,small red ball located in front of the yellow cube,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
13,19,19,D,small green cube located on top of the larger green cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
13,20,20,E,red cube located in front of the yellow cube,red cube in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
14,1,1,A,green ball sitting on top of the right hand cube,green ball on-top-of right-hand cube,tg_col tg_type rel lm_loc lm_type,tg_col tg_type rel lm_loc lm_type,
14,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
14,3,3,C,blue ball sitting on teh green cube,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
14,4,4,D,smaller yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
14,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
14,6,6,A,ball,ball,tg_type,tg_type,
14,7,7,B,ball,ball,tg_type,tg_type,
14,8,8,C,small blue ball in front of the green cube,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
14,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
14,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
15,11,11,A,ball,ball,tg_type,tg_type,
15,12,12,B,ball,ball,tg_type,tg_type,
15,13,13,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
15,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
15,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
15,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
15,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
15,18,18,C,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
15,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
15,20,20,E,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
16,1,1,A,the green sphere ontop of the blue block,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
16,2,2,B,the red sphere infront of the larger orange square,red ball in-front-of large yellow cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
16,3,3,C,the smaller of 2 blue spheres perched ontop of the green sqaure,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
16,4,4,D,smaller of the 2 orange boxes infront of the larger box,small yellow cube in-front-of large cube,tg_size tg_col tg_type rel lm_size lm_type,tg_size tg_col tg_type rel lm_size lm_type,
16,5,5,E,the blue square ontop of the green square of the same volume,blue cube on-top-of green same-size cube,tg_col tg_type rel lm_col lm_size tg_type,tg_col tg_type rel lm_size lm_col lm_type,
16,6,6,A,the green circle in front of the left had larger square,green ball in-front-of left-hand large cube,tg_col tg_type rel lm_loc lm_size lm_type,tg_col tg_type rel lm_size lm_loc lm_type,
16,7,7,B,The small orange sphere ontop of the red square,small yellow ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
16,8,8,C,The smaller of the two blue spheres placed in front of the green square,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
16,9,9,D,Red smaller box placed ontop of the larger red square,red small cube on-top-of large red cube,tg_col tg_size tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
16,10,10,E,the small blue square adjacent to the square,small blue cube adjacent-to cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type,
17,11,11,A,yellow ball on top of the left most cube,yellow ball on-top-of left-hand cube,tg_col tg_type rel lm_loc lm_type,tg_col tg_type rel lm_loc lm_type,
17,12,12,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
17,13,13,C,red ball above the cube,red ball on-top-of cube,tg_col tg_type rel lm_type,tg_col tg_type rel lm_type,
17,14,14,D,green cube closest to the front of the image,green front cube,tg_col tg_loc tg_type,tg_col tg_loc tg_type,
17,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
17,16,16,A,red ball,red ball,tg_col tg_type,tg_col tg_type,
17,17,17,B,blue ball,blue ball,tg_col tg_type,tg_col tg_type,
17,18,18,C,red ball directly in front of the yellow cube,red ball in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
17,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
17,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
18,1,1,A,green ball on top of the blue box on the right,green ball on-top-of blue right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
18,2,2,B,red ball in front of the yellow box,red ball in-front-of yellow cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
18,3,3,C,small blue ball on top of the green box,small blue ball on-top-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
18,4,4,D,small yellow box in front of the big yellow box,small yellow cube in-front-of large yellow cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
18,5,5,E,small blue box on top of the small green box,small blue cube on-top-of small green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
18,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
18,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
18,8,8,C,small blue ball in front of the green box,small blue ball in-front-of green cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
18,9,9,D,small red box on top of the big red box,small red cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
18,10,10,E,small blue box,small blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
23,11,11,A,ball on the leftmost cube,ball on-top-of left-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
23,12,12,B,ball in front of the green cube,ball in-front-of green cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type,
23,13,13,C,ball from atop the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
23,14,14,D,smaller of the green cubes,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
23,15,15,E,topmost cube,top cube,tg_loc tg_type,tg_loc tg_type,
23,16,16,A,ball in front of the rightmost cube,ball in-front-of right-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
23,17,17,B,ball from the green cube,ball on-top-of green cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type,
23,18,18,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
23,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
23,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
24,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
24,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
24,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
24,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
24,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
24,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
24,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
24,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
24,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
24,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
25,11,11,A,sphere,ball,tg_type,tg_type,
25,12,12,B,sphere,ball,tg_type,tg_type,
25,13,13,C,small sphere,small ball,tg_size tg_type,tg_size tg_type,
25,14,14,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
25,15,15,E,yellow cube,yellow cube,tg_col tg_type,tg_col tg_type,
25,16,16,A,sphere,ball,tg_type,tg_type,
25,17,17,B,sphere,ball,tg_type,tg_type,
25,18,18,C,small sphere,small ball,tg_size tg_type,tg_size tg_type,
25,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
25,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
26,1,1,A,ball,ball,tg_type,tg_type,
26,2,2,B,ball,ball,tg_type,tg_type,
26,3,3,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
26,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
26,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
26,6,6,A,ball,ball,tg_type,tg_type,
26,7,7,B,ball,ball,tg_type,tg_type,
26,8,8,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
26,9,9,D,red cube,red cube,tg_col tg_type,tg_col tg_type,
26,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
27,11,11,A,Orange ball located on top of the red cube on the left,yellow ball on-top-of red left-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
27,12,12,B,Blue ball located in front of the green cube and to the right of the smaller blue cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
27,13,13,C,smaller red ball located on the top of the orange cube,small red ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
27,14,14,D,smaller green cube located in front of the larger green cube and to the right of the blue cube of similar size,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
27,15,15,E,Orange cube located on top of the red cube of similar size,yellow cube on-top-of red same-size cube,tg_col tg_type rel lm_col lm_size tg_type,tg_col tg_type rel lm_size lm_col lm_type,
27,16,16,A,red ball in front of the orange cube on the right,red ball in-front-of yellow right-hand cube,tg_col tg_type rel lm_col lm_loc lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
27,17,17,B,blue ball located on top of the green cube,blue ball on-top-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
27,18,18,C,the smaller red ball located in front of the orange cube,small red ball in-front-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
27,19,19,D,the smaller green cube located on top of the larger green cube which is to the left of a smaller blue cube,small green cube on-top-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
27,20,20,E,The red cube located in front of a similar size orange cube,red cube in-front-of same-size yellow cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
28,1,1,A,ball,ball,tg_type,tg_type,
28,2,2,B,ball,ball,tg_type,tg_type,
28,3,3,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
28,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
28,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
28,6,6,A,ball,ball,tg_type,tg_type,
28,7,7,B,ball,ball,tg_type,tg_type,
28,8,8,C,small ball,small ball,tg_size tg_type,tg_size tg_type,
28,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
28,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
29,11,11,A,ball on top of the left hand cube,ball on-top-of left-hand cube,tg_type rel lm_loc lm_type,tg_type rel lm_loc lm_type,
29,12,12,B,ball in front of the green cube,ball in-front-of green cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type,
29,13,13,C,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
29,14,14,D,smaller green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
29,15,15,E,top yellow cube,top yellow cube,tg_loc tg_col tg_type,tg_col tg_loc tg_type,
29,16,16,A,ball,ball,tg_type,tg_type,
29,17,17,B,ball on top of the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type,
29,18,18,C,smaller ball,small ball,tg_size tg_type,tg_size tg_type,
29,19,19,D,green cube on top of the big green cube,green cube on-top-of large green cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type,
29,20,20,E,red cube,red cube,tg_col tg_type,tg_col tg_type,
31,11,11,A,yellow sphere on the leftmost red cube,yellow ball on-top-of left-hand red cube,tg_col tg_type rel lm_loc lm_col lm_type,tg_col tg_type rel lm_col lm_loc lm_type,
31,12,12,B,blue sphere in front of the green cube,blue ball in-front-of green cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type,
31,13,13,C,small yellow sphere on the yellow cube,small yellow ball on-top-of yellow cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type,
31,14,14,D,small green cube in front of the large green cube,small green cube in-front-of large green cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type,
31,15,15,E,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
31,16,16,A,red sphere,red ball,tg_col tg_type,tg_col tg_type,
31,17,17,B,blue sphere,blue ball,tg_col tg_type,tg_col tg_type,
31,18,18,C,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
31,19,19,D,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
31,20,20,E,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
32,1,1,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
32,2,2,B,red ball,red ball,tg_col tg_type,tg_col tg_type,
32,3,3,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
32,4,4,D,small yellow cube,small yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
32,5,5,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
32,6,6,A,green ball,green ball,tg_col tg_type,tg_col tg_type,
32,7,7,B,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type,
32,8,8,C,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type,
32,9,9,D,small red cube,small red cube,tg_size tg_col tg_type,tg_size tg_col tg_type,
32,10,10,E,blue cube,blue cube,tg_col tg_type,tg_col tg_type,
